name,data,table,sizey,sizex,type,type2,category
Feedback Correction Negative Advance Value,1189dc,1189dc,1,,2D,synth2D,Ignition Timing - Knock Control
Feedback Correction Negative Advance Delay,118664,118664,1,,2D,synth2D,Ignition Timing - Knock Control
Fine Correction Range (RPM),118b7c,118b7c,4,,2D,synth2D,Ignition Timing - Knock Control
Fine Correction Range (Load),118b8c,118b8c,4,,2D,synth2D,Ignition Timing - Knock Control
Fine Correction Rows (RPM),118b18,118b18,6,,2D,synth2D,Ignition Timing - Knock Control
Fine Correction Columns (Load),118b34,118b34,4,,2D,synth2D,Ignition Timing - Knock Control
Fine Correction Retard Value,118b54,118b54,1,,2D,synth2D,Ignition Timing - Knock Control
Fine Correction Retard Limit,118b70,118b70,1,,2D,synth2D,Ignition Timing - Knock Control
Fine Correction Advance Value,118b50,118b50,1,,2D,synth2D,Ignition Timing - Knock Control
Fine Correction Advance Limit,118b4c,118b4c,1,,2D,synth2D,Ignition Timing - Knock Control
Fine Correction Advance Delay,118674,118674,1,,2D,synth2D,Ignition Timing - Knock Control
Rough Correction Range (RPM),118ac8,118ac8,4,,2D,synth2D,Ignition Timing - Knock Control
Rough Correction Range (Load),118ad8,118ad8,4,,2D,synth2D,Ignition Timing - Knock Control
Rough Correction Minimum KC Advance Map Value,118ae8,118ae8,1,,2D,synth2D,Ignition Timing - Knock Control
Advance Multiplier (Initial),118aec,118aec,1,,2D,synth2D,Ignition Timing - Knock Control
Advance Multiplier Step Value,118af0,118af0,1,,2D,synth2D,Ignition Timing - Knock Control
Knock Sensor Calibration,122ee0,c257c,87,,2D,2D,Ignition Timing - Knock Control
Knock Threshold,11a32c,c08fc,7,5,3D,3D,Ignition Timing - Knock Control
Requested Torque A (Accelerator Pedal),10302c,bb9f4,18,16,3D,3D,Drive-by-Wire Throttle (DBW)
Requested Torque B (Accelerator Pedal),13cd80,c1e98,23,16,3D,3D,Drive-by-Wire Throttle (DBW)
Target Throttle Plate Position Maximum (Requested Torque),13c864,c1df0,23,21,3D,3D,Drive-by-Wire Throttle (DBW)
Rev Limit A (Fuel Cut),10e5e8,10e5e8,2,,2D,synth2D,Miscellaneous - Limits
Rev Limit B,10e5f0,10e5f0,2,,2D,synth2D,Miscellaneous - Limits
Rev Limit Fuel Resume (MP),10e5f8,10e5f8,1,,2D,synth2D,Miscellaneous - Limits
Speed Limiting Enable (Fuel Cut),1120e4,,1,,2D,2D,Miscellaneous - Limits
Speed Limiting Disable (Fuel Cut),1120e0,,1,,2D,2D,Miscellaneous - Limits
Speed Limiting A (Throttle) SI-DRIVE Sport/Sport Sharp,13c344,,2,,2D,2D,Miscellaneous - Limits
Speed Limiting B (Throttle) SI-DRIVE Sport/Sport Sharp,13c350,,2,,2D,2D,Miscellaneous - Limits
Speed Limiting A (Throttle) SI-DRIVE Intelligent,13c35c,,2,,2D,2D,Miscellaneous - Limits
Speed Limiting B (Throttle) SI-DRIVE Intelligent,13c368,,2,,2D,2D,Miscellaneous - Limits
Intake Temp Sensor Scaling,1230e8,c259c,30,,2D,2D,Miscellaneous - Sensor Scalings
Coolant Temp Sensor Scaling,123000,c2590,28,,2D,2D,Miscellaneous - Sensor Scalings
Radiator Fan Modes A (ECT),121a14,121a14,4,,2D,synth2D,Miscellaneous - Thresholds
Radiator Fan Modes B (ECT),121a24,121a24,4,,2D,synth2D,Miscellaneous - Thresholds
Radiator Fan Modes (Veh. Speed),121a34,121a34,6,,2D,synth2D,Miscellaneous - Thresholds
Gear Determination Thresholds A,103fd4,103fd4,5,,2D,synth2D,Miscellaneous - Thresholds
Gear Determination Thresholds B,103fe8,103fe8,5,,2D,synth2D,Miscellaneous - Thresholds
Idle Speed Target A,11d33c,c138c,16,,2D,2D,Idle Control
Idle Speed Target B,11d35c,c13a0,16,,2D,2D,Idle Control
Idle Speed Target C,11d37c,c13b4,16,,2D,2D,Idle Control
Idle Speed Target D,11d39c,c13c8,16,,2D,2D,Idle Control
Idle Speed Target E,11d3bc,c13dc,16,,2D,2D,Idle Control
Idle Speed Target F,11d3dc,c13f0,16,,2D,2D,Idle Control
Idle Speed Target G,11d3fc,c1404,16,,2D,2D,Idle Control
Idle Speed Target H,11d45c,c1418,16,,2D,2D,Idle Control
Idle Speed Target I,11d4bc,c142c,16,,2D,2D,Idle Control
Idle Speed Target J,11d51c,c1440,16,,2D,2D,Idle Control
Idle Speed Target K,11d57c,c1454,16,,2D,2D,Idle Control
Idle Speed Target L,11d5dc,c1468,16,,2D,2D,Idle Control
Idle Speed Stability A,11f1d8,c196c,11,16,3D,3D,Idle Control
Idle Speed Stability B,11f3a4,c1988,11,16,3D,3D,Idle Control
Idle Speed Stability Additive,11d638,c1490,6,,2D,2D,Idle Control
Ignition Dwell,123944,c2644,5,16,3D,3D,Miscellaneous - Sensor Scalings
AFR Sensor Heater Protection,1006b4,bb404,5,,2D,2D,Fueling - O2 Sensor #1
AFR Sensor Heater Duty Cycle A,100770,,4,,2D,2D,Fueling - O2 Sensor #1
AFR Sensor Heater Duty Cycle B,100788,,4,,2D,2D,Fueling - O2 Sensor #1
AFR Sensor Heating Limit,100e44,bb4e8,6,6,3D,3D,Fueling - O2 Sensor #1
Fuel Multiplier Display Offset,101cf8,bb614,5,,2D,2D,Miscellaneous - Other
Calculated Torque A,102210,bb6ec,23,13,3D,3D,Drive-by-Wire Throttle (DBW)
Calculated Torque B,1024f0,bb708,23,11,3D,3D,Drive-by-Wire Throttle (DBW)
Post Cranking Airflow Initial Reference Coolant,1041fc,bbd74,16,,2D,2D,Fueling - Cranking
Post Cranking Load Initial Reference Coolant,104304,bbdd8,16,,2D,2D,Fueling - Cranking
Cylinder Fill Percentage,1076c0,bc5e4,22,16,3D,3D,Mass Airflow / Engine Load
Solenoid Control,1080a0,bc898,5,7,3D,3D,CPC Solenoid
Solenoid Duty,108150,bc8b4,13,13,3D,3D,CPC Solenoid
Misfire Count MAP Threshold A,109246,bc8f8,13,,2D,2D,Miscellaneous - Thresholds
Misfire Count MAP Threshold B,109253,bc90c,13,,2D,2D,Miscellaneous - Thresholds
Misfire DTC Threshold,10ace4,bd28c,19,14,3D,3D,Miscellaneous - Thresholds
AFR Minimum Correction,10ef84,bdbb4,9,,2D,2D,Alpha - BRZ
AFR Maximum Correction,10efb4,bdbc8,9,,2D,2D,Alpha - BRZ
Port Injection MRP Compensation,111248,bebf8,8,,2D,2D,Fueling - Port Injectors
Direct Injection Quantity Maximum,111298,bec04,12,,2D,2D,Fueling - GDI
Direct Injection Quantity Minimum,1112e0,bec10,6,,2D,2D,Fueling - GDI
GDI Firing Angle Cold Idle,112094,bee48,2,2,3D,3D,Fueling - GDI
GDI Firing Angle High Load Cold,112108,bee64,17,11,3D,3D,Fueling - GDI
GDI Firing Angle High Load Hot,1121d4,bee80,2,2,3D,3D,Fueling - GDI
GDI Firing Angle Low Load Cold,1121e8,bee9c,2,2,3D,3D,Fueling - GDI
GDI Firing Angle Low Load Hot,1121fc,beeb8,2,2,3D,3D,Fueling - GDI
GDI Pressure Multiplier A,112250,beed4,10,10,3D,3D,Fueling - GDI
GDI Pressure Target A,1122f4,bef0c,2,2,3D,3D,Fueling - GDI
GDI Pressure Target B,113dd8,bf490,17,15,3D,3D,Fueling - GDI
Total Injection Ratio Port Cold,11256c,befd0,2,2,3D,3D,Fueling - Injector Ratio
Total Injection Ratio Port Hot,112580,befec,2,2,3D,3D,Fueling - Injector Ratio
Total Injection Ratio Port Warm,11246c,befb4,20,12,3D,3D,Fueling - Injector Ratio
PI Ratio ECT Compensation (Additive),10ee40,bdaf4,2,,2D,2D,Fueling - Injector Ratio
PI Ratio ECT Compensation (Load),112600,bf05c,6,16,3D,3D,Fueling - Injector Ratio
PI Ratio ECT Compensation,112724,bf094,3,16,3D,3D,Fueling - Injector Ratio
PI Ratio ECT Unknown,111328,,16,,2D,2D,Fueling - Injector Ratio
ECT Unknown,11053e,be7bc,16,,2D,2D,Fueling - Injector Ratio
ECT Unknown B,10a4e0,bd0e8,16,,2D,2D,Fueling - Injector Ratio
Primary Open Loop Fueling Additive A,112df8,bf1b8,23,13,3D,3D,Fueling - Primary Open Loop
Primary Open Loop Fueling Additive B,112fb4,bf1d4,23,13,3D,3D,Fueling - Primary Open Loop
GDI Pressure Multiplier B,113c90,bf474,10,10,3D,3D,Fueling - GDI
Input A Rising Load Activation ECT Load 1,11451c,bf6b8,3,16,3D,3D,Fueling - Transient
Input A Rising Load Activation ECT Load 2,11457c,bd6d4,3,16,3D,3D,Fueling - Transient
