name	dataaddr	tableaddr	sizey	sizex	type	category
DiPi Fueling ECT Unknown 11 B	1136f8		2		2D	Fueling - Closed Loop
DiPi Fueling ECT Unknown 11 C	113682		16		2D	Fueling - Closed Loop
DiPi Fueling ECT Unknown 12	112a68	ddea4	2		2D	Fueling - Closed Loop
DiPi Fueling ECT Unknown 13	116210	df410	2	2	3D	Fueling - Closed Loop
DiPi Fueling ECT Unknown 14	1136fc	de528	16		2D	Fueling - Closed Loop
DiPi Fueling ECT Unknown 15	112a40	dde84	16		2D	Fueling - Closed Loop
DiPi Fueling ECT Unknown 16	112a50	dde90	16		2D	Fueling - Closed Loop
DiPi Fueling ECT Unknown 17	1161f4	df3f4	2	5	3D	Fueling - Closed Loop
CL Fueling Target Compensation A (Load)	119830		11	11	3D	Fueling - Closed Loop
CL Fueling Target Compensation B (Load)	11997c		11	11	3D	Fueling - Closed Loop
CL Fueling Target Compensation C (Load)	11bdec		11	11	3D	Fueling - Closed Loop
CL Fueling Target Compensation A (ECT)	11970c		3	16	3D	Fueling - Closed Loop
CL Fueling Target Compensation B (ECT)	119778		3	16	3D	Fueling - Closed Loop
CL Fueling Target Compensation (ECT) Disable	111b44		1		2D	Fueling - Closed Loop
CL to OL Transition with Delay (Base Pulse Width)	1141b4		16		2D	Fueling - CL/OL Transition
CL Delay Maximum Engine Speed (Per Gear)	11c200		6		2D	Fueling - CL/OL Transition
Injector Latency	118078		3	5	3D	Fueling - Port Injectors
Injector Flow Scaling	111904	111904	1		2D	Fueling - Port Injectors
Injector Flow Scaling BRZ	1118d0	1118d0	1		2D	Fueling - Port Injectors
Per Injector Pulse Width Compensation A	11717c		12	9	3D	Fueling - Port Injectors
Per Injector Pulse Width Compensation B	11723c		12	9	3D	Fueling - Port Injectors
Per Injector Pulse Width Compensation C	1172fc		12	9	3D	Fueling - Port Injectors
Per Injector Pulse Width Compensation D	1173bc		12	9	3D	Fueling - Port Injectors
Per Injector Pulse Width Compensation E	11747c		12	9	3D	Fueling - Port Injectors
Per Injector Pulse Width Compensation F	11753c		12	9	3D	Fueling - Port Injectors
Per Injector Pulse Width Compensation G	1175fc		12	9	3D	Fueling - Port Injectors
Per Injector Pulse Width Compensation H	1176bc		12	9	3D	Fueling - Port Injectors
Cranking Fuel IPW Compensation A (RPM)	115ff0		2	2	3D	Fueling - Cranking
Cranking Fuel IPW Compensation (MAP)	112980		10		2D	Fueling - Cranking
Cranking Fuel IPW Compensation (Accelerator)	1129a4		6		2D	Fueling - Cranking
Cranking Fuel IPW Compensation (IAT)	1129c0		5		2D	Fueling - Cranking
Throttle Tip-in Enrichment A	114780		18		2D	Fueling - Tip-in Enrichment
Throttle Tip-in Enrichment B	1147ec		18		2D	Fueling - Tip-in Enrichment
Minimum Tip-in Enrichment Activation	11202c		1		2D	Fueling - Tip-in Enrichment
Minimum Tip-in Enrichment Activation (Throttle)	112020		1		2D	Fueling - Tip-in Enrichment
Tip-in Enrichment Compensation (RPM)	112fd4		16		2D	Fueling - Tip-in Enrichment
Tip-in Enrichment Compensation (MRP)	113008		9		2D	Fueling - Tip-in Enrichment
Tip-in Enrichment Compensation A (ECT)	113011		16		2D	Fueling - Tip-in Enrichment
Tip-in Enrichment Compensation B (ECT)	114810		16		2D	Fueling - Tip-in Enrichment
Tip-in Enrichment Compensation C (ECT)	114830		16		2D	Fueling - Tip-in Enrichment
Tip-in Enrichment Compensation D (ECT)	114870		16		2D	Fueling - Tip-in Enrichment
Tip-in Enrichment Compensation D (ECT) Activation	112028		1		2D	Fueling - Tip-in Enrichment
Tip-in Enrichment Disable Applied Counter Threshold A (ECT)	113021		16		2D	Fueling - Tip-in Enrichment
Tip-in Enrichment Disable Applied Counter Threshold B (ECT)	113031		16		2D	Fueling - Tip-in Enrichment
Tip-in Enrichment Applied Counter Reset	1116cc		1		2D	Fueling - Tip-in Enrichment
Tip-in Enrichment Disable Throttle Cumulative Threshold A (ECT)	114890		16		2D	Fueling - Tip-in Enrichment
Tip-in Enrichment Disable Throttle Cumulative Threshold B (ECT)	1148b0		16		2D	Fueling - Tip-in Enrichment
Tip-in Throttle Cumulative Reset	1116cd		1		2D	Fueling - Tip-in Enrichment
A/F Learning #1 Limits	111c0c		2		2D	Fueling - AF Correction / Learning
A/F Learning #1 Airflow Ranges A	115028		5		2D	Fueling - AF Correction / Learning
A/F Learning #1 Airflow Ranges B	115050		5		2D	Fueling - AF Correction / Learning
MAF Voltage Limits (CEL)	125396		2		2D	Mass Airflow / Engine Load
MAF Limit (Maximum)	104770		1		2D	Mass Airflow / Engine Load
MAF Sensor Scaling	126e9c	e2a0c	54		2D	Mass Airflow / Engine Load
MAF Compensation (IAT)	105878		10	6	3D	Mass Airflow / Engine Load
MAF Correction After Start (Neutral)	12347c		8	14	3D	Mass Airflow / Engine Load
MAF Correction After Start (In Gear)	1235b4		8	14	3D	Mass Airflow / Engine Load
Engine Load Limit (Maximum)	50868		1		2D	Mass Airflow / Engine Load
Engine Load Compensation (MP)	105964		24	15	3D	Mass Airflow / Engine Load
Base Timing A (Safe)	11e2ac		23	14	3D	Ignition Timing - Advance
Base Timing A (Base)	11e0d4		23	14	3D	Ignition Timing - Advance
Base Timing B (Safe)	11e65c		23	14	3D	Ignition Timing - Advance
Base Timing B (Base)	11e484		23	14	3D	Ignition Timing - Advance
Timing Unknown A	11d4ae	e09d0	16		2D	Ignition Timing - Advance
Timing Unknown B	11d50e	e0a0c	16		2D	Ignition Timing - Advance
Timing Unknown C	11d76c	e0b6c	2		2D	Ignition Timing - Advance
Timing Unknown D1	11d4ee	e09f8	16		2D	Ignition Timing - Advance
Timing Unknown D2	11d4ce	e09e4	16		2D	Ignition Timing - Advance
Timing Unknown E1	11cd2c	e04fc	16		2D	Ignition Timing - Advance
Timing Unknown E2	11cd6c	e0538	4		2D	Ignition Timing - Advance
Timing Unknown F1	11d52e	e0a20	16		2D	Ignition Timing - Advance
Timing Unknown G1	11cd44	e0510	2		2D	Ignition Timing - Advance
Timing Unknown G2	11cd58	e0524	4		2D	Ignition Timing - Advance
Timing Unknown H	11d54e	e0a34	16		2D	Ignition Timing - Advance
Base Timing Idle (In-Gear)(Above Speed Threshold)	11e018		2	10	3D	Ignition Timing - Advance
Base Timing Idle (In-Gear)(Below Speed Threshold)	11cbbc		8		2D	Ignition Timing - Advance
Base Timing Idle (Neutral)	11cbe4		8		2D	Ignition Timing - Advance
Base Timing Idle Unknown A	11cc10	e0484	9		2D	Ignition Timing - Advance
Base Timing Idle Unknown B	11cc19	e0498	16		2D	Ignition Timing - Advance
Base Timing Idle Unknown C	11cddc		16		2D	Ignition Timing - Advance
Base Timing Idle Vehicle Speed Threshold	11c268	11c268	1		2D	Ignition Timing - Advance
Knock Correction Advance Max A	11f29c	e117c	23	14	3D	Ignition Timing - Advance
Timing Compensation (IAT)	11ce84		16		2D	Ignition Timing - Compensation
Timing Compensation (IAT) Activation	11e888		5	8	3D	Ignition Timing - Compensation
Timing Compensation A (ECT)	11ce02		16		2D	Ignition Timing - Compensation
Timing Compensation B (ECT)	11ce12		16		2D	Ignition Timing - Compensation
Timing Compensation Per Cylinder A	11ef24	e109c	6	16	3D	Ignition Timing - Compensation
Timing Compensation Per Cylinder B	11efdc	e10b8	6	16	3D	Ignition Timing - Compensation
Timing Compensation Per Cylinder C	11f094	e10d4	6	16	3D	Ignition Timing - Compensation
Timing Compensation Per Cylinder D	11f14c	e10f0	6	16	3D	Ignition Timing - Compensation
Timing Comp Minimum Load (Per Cylinder)	11c494		1		2D	Ignition Timing - Compensation
Timing Comp Maximum RPM (Per Cylinder)	11c490		1		2D	Ignition Timing - Compensation
Timing Comp Minimum Coolant Temp (Per Cylinder)	11c498		1		2D	Ignition Timing - Compensation
Feedback Correction Range (RPM)	11c4a4		4		2D	Ignition Timing - Knock Control
Feedback Correction Minimum Load	11c49c	11c49c	2		2D	Ignition Timing - Knock Control
Feedback Correction Retard Value	11c4c4	11c4c4	1		2D	Ignition Timing - Knock Control
Feedback Correction Retard Limit	11c4c0	11c4c0	1		2D	Ignition Timing - Knock Control
Feedback Correction Negative Advance Value	11c4c8	11c4c8	1		2D	Ignition Timing - Knock Control
Feedback Correction Negative Advance Delay	11c168	11c168	1		2D	Ignition Timing - Knock Control
Fine Correction Range (RPM)	11c668		4		2D	Ignition Timing - Knock Control
Fine Correction Range (Load)	11c678		4		2D	Ignition Timing - Knock Control
Fine Correction Rows (RPM)	11c604		6		2D	Ignition Timing - Knock Control
Fine Correction Columns (Load)	11c620		4		2D	Ignition Timing - Knock Control
Fine Correction Retard Value	11c640	11c640	1		2D	Ignition Timing - Knock Control
Fine Correction Retard Limit	11c65c	11c65c	1		2D	Ignition Timing - Knock Control
Fine Correction Advance Value	11c63c	11c63c	1		2D	Ignition Timing - Knock Control
Fine Correction Advance Limit	11c638	11c638	1		2D	Ignition Timing - Knock Control
Fine Correction Advance Delay	11c178	11c178	1		2D	Ignition Timing - Knock Control
Rough Correction Range (RPM)	11c5b4		4		2D	Ignition Timing - Knock Control
Rough Correction Range (Load)	11c5c4		4		2D	Ignition Timing - Knock Control
Rough Correction Minimum KC Advance Map Value	11c5d4		1		2D	Ignition Timing - Knock Control
Advance Multiplier (Initial)	11c5d8		1		2D	Ignition Timing - Knock Control
Advance Multiplier Step Value	11c5dc	11c5dc	1		2D	Ignition Timing - Knock Control
Knock Sensor Calibration	12677c	e295c	87		2D	Ignition Timing - Knock Control
Knock Threshold	11dea0	e0ca4	7	5	3D	Ignition Timing - Knock Control
Requested Torque A (Accelerator Pedal)	103a4c		18	16	3D	Drive-by-Wire Throttle (DBW)
Requested Torque B (Accelerator Pedal)	13cd80		23	16	3D	Drive-by-Wire Throttle (DBW)
Target Throttle Plate Position Maximum (Requested Torque)	13c864		23	21	3D	Drive-by-Wire Throttle (DBW)
Rev Limit A (Fuel Cut)	1120cc		2		2D	Miscellaneous - Limits
Rev Limit B	1120d4	1120d4	2		2D	Miscellaneous - Limits
Rev Limit Fuel Resume (MP)	1120dc		1		2D	Miscellaneous - Limits
Speed Limiting Enable (Fuel Cut)	1120e4		1		2D	Miscellaneous - Limits
Speed Limiting Disable (Fuel Cut)	1120e0		1		2D	Miscellaneous - Limits
Speed Limiting A (Throttle) SI-DRIVE Sport/Sport Sharp	13c344		2		2D	Miscellaneous - Limits
Speed Limiting B (Throttle) SI-DRIVE Sport/Sport Sharp	13c350		2		2D	Miscellaneous - Limits
Speed Limiting A (Throttle) SI-DRIVE Intelligent	13c35c		2		2D	Miscellaneous - Limits
Speed Limiting B (Throttle) SI-DRIVE Intelligent	13c368		2		2D	Miscellaneous - Limits
Intake Temp Sensor Scaling	126984	e297c	30		2D	Miscellaneous - Sensor Scalings
Coolant Temp Sensor Scaling	12689c	e2970	28		2D	Miscellaneous - Sensor Scalings
Radiator Fan Modes A (ECT)	125278		4		2D	Miscellaneous - Thresholds
Radiator Fan Modes B (ECT)	125288		4		2D	Miscellaneous - Thresholds
Radiator Fan Modes (Veh. Speed)	125298		6		2D	Miscellaneous - Thresholds
Gear Determination Thresholds A	104a18		5		2D	Miscellaneous - Thresholds
Gear Determination Thresholds B	104a2c		5		2D	Miscellaneous - Thresholds
Idle Speed Target A	120f60	e176c	16		2D	Idle Control
Idle Speed Target B	120f80	e1780	16		2D	Idle Control
Idle Speed Target C	120fa0	e1794	16		2D	Idle Control
Idle Speed Target D	120fc0	e17a8	16		2D	Idle Control
Idle Speed Target E	120fe0	e17bc	16		2D	Idle Control
Idle Speed Target F	121000	e17d0	16		2D	Idle Control
Idle Speed Target G	121020	e17e4	16		2D	Idle Control
Idle Speed Target H	121080	e17f8	16		2D	Idle Control
Idle Speed Target I	1210e0	e180c	16		2D	Idle Control
Idle Speed Target J	121140	e1820	16		2D	Idle Control
Idle Speed Target K	1211a0	e1834	16		2D	Idle Control
Idle Speed Target L	121200	e1848	16		2D	Idle Control
Idle Speed Stability A	1228e4		11	16	3D	Idle Control
Idle Speed Stability B	122ab0		11	16	3D	Idle Control
Idle Speed Stability Additive	12125c		6		2D	Idle Control
Ignition Dwell	1270a8	e2a30	5	16	3D	Miscellaneous - Sensor Scalings
AFR Sensor Heater Duty Cycle A	100770	dae5c	4		2D	Fueling - O2 Sensor #1
AFR Sensor Heater Duty Cycle B	100788	dae70	4		2D	Fueling - O2 Sensor #1
Fuel Multiplier Display Offset	10272c		5		2D	Miscellaneous - Other
Calculated Torque A	102c44	db244	23	13	3D	Drive-by-Wire Throttle (DBW)
Calculated Torque B	102f24	db260	23	11	3D	Drive-by-Wire Throttle (DBW)
Post Cranking Airflow Initial Reference Coolant	104c28		16		2D	Fueling - Cranking
Post Cranking Load Initial Reference Coolant	104d30	db930	16		2D	Fueling - Cranking
Cylinder Fill Percentage	1080ec		22	16	3D	Mass Airflow / Engine Load
Solenoid Control	108acc	dc3f0	5	7	3D	CPC Solenoid
Solenoid Duty	108b7c	dc40c	13	13	3D	CPC Solenoid
Misfire Count MAP Threshold A	10a3a6	dc484	13		2D	Miscellaneous - Thresholds
Misfire Count MAP Threshold B	10a3b3	dc498	13		2D	Miscellaneous - Thresholds
Misfire DTC Threshold	10cd20	dd390	19	14	3D	Miscellaneous - Thresholds
AFR Minimum Correction	112bb8	ddf78	9		2D	Alpha - BRZ
AFR Maximum Correction	112be8	ddf8c	9		2D	Alpha - BRZ
Port Injection MRP Compensation	114e74	defd8	8		2D	Fueling - Port Injectors
Direct Injection Quantity Maximum	114ec4		12		2D	Fueling - GDI
Direct Injection Quantity Minimum	114f0c		6		2D	Fueling - GDI
GDI Firing Angle Cold Idle	115ce8	df234	2	2	3D	Fueling - GDI
GDI Firing Angle High Load Cold	115d5c	df250	17	11	3D	Fueling - GDI
GDI Firing Angle High Load Hot	115e28	df26c	2	2	3D	Fueling - GDI
GDI Firing Angle Low Load Cold	115e3c	df288	2	2	3D	Fueling - GDI
GDI Firing Angle Low Load Hot	115e50	df2a4	2	2	3D	Fueling - GDI
GDI Pressure Multiplier A	115ea4	df2c0	10	10	3D	Fueling - GDI
GDI Pressure Target A	115f48	df2f8	2	2	3D	Fueling - GDI
GDI Pressure Target B	117a2c	df87c	17	15	3D	Fueling - GDI
Total Injection Ratio Port Cold	1161c0	df3bc	2	2	3D	Fueling - Injector Ratio
Total Injection Ratio Port Hot	1161d4	df3d8	2	2	3D	Fueling - Injector Ratio
Total Injection Ratio Port Warm	1160c0	df3a0	20	12	3D	Fueling - Injector Ratio
PI Ratio ECT Compensation (Additive)	112a74		2		2D	Fueling - Injector Ratio
PI Ratio ECT Compensation (Load)	116254		6	16	3D	Fueling - Injector Ratio
PI Ratio ECT Compensation	116378		3	16	3D	Fueling - Injector Ratio
PI Ratio ECT Unknown	114f54		16		2D	Fueling - Injector Ratio
ECT Unknown	11411a		16		2D	Fueling - Injector Ratio
ECT Unknown B	10bf74		2		2D	Fueling - Injector Ratio
Primary Open Loop Fueling Additive A	116a4c		23	13	3D	Fueling - Primary Open Loop
Primary Open Loop Fueling Additive B	116c08		23	13	3D	Fueling - Primary Open Loop
GDI Pressure Multiplier B	1178e4	df860	10	10	3D	Fueling - GDI
Input A Rising Load Activation ECT Load 1	118170	dfaa4	3	16	3D	Fueling - Transient
Input A Rising Load Activation ECT Load 2	1181d0	dfac0	3	16	3D	Fueling - Transient
Input A Rising Load Activation ECT Load 3	118230	dfadc	3	16	3D	Fueling - Transient
Input A Rising Load Activation ECT Load 4	11829c	dfaf8	3	16	3D	Fueling - Transient
Input A Rising Load Activation ECT Load 5	118308	dfb14	3	16	3D	Fueling - Transient
Input A Rising Load Activation ECT Load 6	118368	dfb30	3	16	3D	Fueling - Transient
Input A Rising Load Activation ECT Load 7	1183c8	dfb4c	3	16	3D	Fueling - Transient
Input A Rising Load Activation ECT Load 8	118428	dfb68	3	16	3D	Fueling - Transient
Input A Rising Load Activation ECT Load 9	118494	dfb84	3	16	3D	Fueling - Transient
Input A Rising Load Activation ECT Load 10	1184f4	dfba0	3	16	3D	Fueling - Transient
Input A Rising Load Activation ECT Load 11	118560	dfbbc	3	16	3D	Fueling - Transient
Input A Rising Load Activation ECT Load 12	1185c0	dfbd8	3	16	3D	Fueling - Transient
Input A Rising Load Activation ECT Load 13	11862c	dfbf4	3	16	3D	Fueling - Transient
Input A Rising Load Activation ECT Load 14	11868c	dfc10	3	16	3D	Fueling - Transient
TPS Related Fuel Adder Activation Min Load	11b51c	e0148	7	7	3D	Miscellaneous - Other
GDI Flow Rate	11bf30	e0308	14	6	3D	Fueling - GDI
Ignition Timing Post Start	11ca16	e036c	16		2D	Ignition Timing - Advance
Minimum Timing	11ca48	e0380	8		2D	Ignition Timing - Advance
Ignition Timing Compensation MAP Delta (Clutch Depressed)	11cb10		9		2D	Ignition Timing - Compensation
AFR Sensor Atmospheric Pressure Compensation	11d280		4		2D	Fueling - O2 Sensor #1
Minimum CFP Delta for Transient Retard	11ddb4	e0c8c	8		2D	Ignition Timing - Transient
Ignition Timing Compensation Idle Target Out of Error Range A	11e8e0		2	10	3D	Ignition Timing - Compensation
Ignition Timing Compensation Idle Target In Error Range A	11e918		9	9	3D	Ignition Timing - Compensation
Ignition Timing Compensation Idle Target Load Change A	11e974		2	9	3D	Ignition Timing - Compensation
Ignition Timing Compensation Idle Target In Error Range B	11e9d4		9	10	3D	Ignition Timing - Compensation
Ignition Timing Compensation Idle Target Load Change B	11ea5c		2	9	3D	Ignition Timing - Compensation
Transient Ignition Retard ECT Threshhold	11c464		1		2D	Ignition Timing - Transient
Transient Ignition Retard RPM Threshhold	11c468		1		2D	Ignition Timing - Transient
Transient Ignition Retard TPS Angle Threshhold	11c46c		1		2D	Ignition Timing - Transient
Transient Ignition Retard Engine Load Threshhold	11c470		1		2D	Ignition Timing - Transient
Transient Ignition Retard	11edd0	e102c	24	8	3D	Ignition Timing - Transient
Transient Ignition Retard Temperature Compensation	11ece0		7	16	3D	Ignition Timing - Transient
Desired Overrun Mass Airflow A	1221e4		16	21	3D	Mass Airflow / Engine Load
Desired Overrun Mass Airflow C	122494		2	2	3D	Mass Airflow / Engine Load
Desired Overrun Mass Airflow B	122530		16	21	3D	Mass Airflow / Engine Load
Intake Cam Advance Angle Normal AVCS	12a9a4	e31c8	27	16	3D	Variable Valve Timing (AVCS)
Intake Cam Advance Angle Safe AVCS	12a748	e31ac	27	16	3D	Variable Valve Timing (AVCS)
Intake Cam Advance Angle Base AVCS	12abe4	e31e4	24	12	3D	Variable Valve Timing (AVCS)
Exhaust Cam Retard Angle Normal AVCS	12b224	e32a8	27	16	3D	Variable Valve Timing (AVCS)
Exhaust Cam Retard Angle Safe AVCS	12ae18	e328c	27	16	3D	Variable Valve Timing (AVCS)
Exhaust Cam Retard Angle Base AVCS	12a554	e3158	24	12	3D	Variable Valve Timing (AVCS)
Intake Duty Correction A	12b96c	e33a4	10	9	3D	Variable Valve Timing (AVCS)
Intake Duty Correction B	12ba6c	e33c0	10	9	3D	Variable Valve Timing (AVCS)
Intake Duty Correction C	12bb6c	e33dc	10	9	3D	Variable Valve Timing (AVCS)
Intake Duty Correction D	12bc6c	e33f8	10	9	3D	Variable Valve Timing (AVCS)
Intake Duty Correction E	12bd30	e3414	2	2	3D	Variable Valve Timing (AVCS)
Intake Duty Correction F	12bd48	e3430	2	2	3D	Variable Valve Timing (AVCS)
Intake Duty Correction AC Adjust A	129914	e2e3c	16		2D	Variable Valve Timing (AVCS)
Intake Duty Correction AC Adjust B	1298c4	e2e28	16		2D	Variable Valve Timing (AVCS)
Intake Duty Correction BD Adjust A	1299b4	e2e64	16		2D	Variable Valve Timing (AVCS)
Intake Duty Correction BD Adjust B	129964	e2e50	16		2D	Variable Valve Timing (AVCS)
Intake Duty Correction EF Adjust	129a04	e2e78	16		2D	Variable Valve Timing (AVCS)
Intake Duty Correction E Adjust	129a1c	e2e8c	2		2D	Variable Valve Timing (AVCS)
Intake Duty Correction F Adjust	129a28	e2ea0	2		2D	Variable Valve Timing (AVCS)
Exhaust Duty Correction A	12be54	e34a0	10	9	3D	Variable Valve Timing (AVCS)
Exhaust Duty Correction B	12bf6c	e34bc	10	9	3D	Variable Valve Timing (AVCS)
Exhaust Duty Correction C	12c084	e34d8	10	9	3D	Variable Valve Timing (AVCS)
Exhaust Duty Correction D	12c19c	e34f4	10	9	3D	Variable Valve Timing (AVCS)
Exhaust Duty Correction E	12bde4	e3468	2	2	3D	Variable Valve Timing (AVCS)
Exhaust Duty Correction F	12bdfc	e3484	2	2	3D	Variable Valve Timing (AVCS)
Exhaust Duty Correction AC Adjust A	129abc	e2ec8	16		2D	Variable Valve Timing (AVCS)
Exhaust Duty Correction AC Adjust B	129a6c	e2eb4	16		2D	Variable Valve Timing (AVCS)
Exhaust Duty Correction BD Adjust A	129b5c	e2ef0	16		2D	Variable Valve Timing (AVCS)
Exhaust Duty Correction BD Adjust B	129b0c	e2edc	16		2D	Variable Valve Timing (AVCS)
Exhaust Duty Correction EF Adjust	129bac	e2f04	16		2D	Variable Valve Timing (AVCS)
Exhaust Duty Correction E Adjust	129bc4	e2f18	2		2D	Variable Valve Timing (AVCS)
Exhaust Duty Correction F Adjust	129bd0	e2f2c	2		2D	Variable Valve Timing (AVCS)
Minimum Port Injection Quantity	111914	111914	1		2D	Fueling - Port Injectors
Fuel Injection Ratio ECT Threshold A	111944	111944	2		2D	Fueling - Injector Ratio
Fuel Injection Ratio ECT Threshold B	111954	111954	2		2D	Fueling - Injector Ratio
Low Pulse Width Fuel Injector Compensation	112f8c		8		2D	Fueling - Port Injectors
Low Pulse Width Fuel Injector Compensation Maximum RPM	111fe4		1		2D	Fueling - Port Injectors
Low Pulse Width Fuel Injector Compensation Maximum IPW	111fe8		1		2D	Fueling - Port Injectors
Overrun Fueling RPM Resume Threshold	114a14		16		2D	Fueling - Overrun
Overrun Enrich RPM Delta Activation	112014	112014	1		2D	Fueling - Overrun
Overrun initial injector enrichment (pulsewidth)	112018		1		2D	Fueling - Overrun
Overrun Fueling Cut Counter RPM Threshold	1120ac	1120ac	5		2D	Fueling - Overrun
Hotstart Enrichment Decay Delay	11176e	11176e	1		2D	Fueling - Hotstart Enrichment
Hotstart Enrichment Decay Step	111e48	111e48	1		2D	Fueling - Hotstart Enrichment
Initial Hotstart Enrichment (High)	111e34		1		2D	Fueling - Hotstart Enrichment
Hotstart High Enrichment Activation Threshold (Coolant Temperature)	111e24		1		2D	Fueling - Hotstart Enrichment
Hotstart High Enrichment Activation Threshold (Intake Air Temperature)	111e28		1		2D	Fueling - Hotstart Enrichment
Initial Hotstart Enrichment (Low)	111e38		1		2D	Fueling - Hotstart Enrichment
Hotstart Low Enrichment Activation Threshold (Coolant Temperature)	111e2c		1		2D	Fueling - Hotstart Enrichment
Maximum Non-Idle Hotstart Enrichment (Post Delay)	111e4c		1		2D	Fueling - Hotstart Enrichment
Hotstart Minimum Enrichment Limit Runtime	111770	111770	1		2D	Fueling - Hotstart Enrichment
Hotstart Minimum Enrichment (During Delay and Runtime)	111e44		1		2D	Fueling - Hotstart Enrichment
