name	dataaddr	tableaddr	sizey	sizex	type	category
Primary Open Loop Fueling Additive B	116a84		23	13	3D	Fueling - Primary Open Loop
GDI Pressure Multiplier B	117760	e106c	10	10	3D	Fueling - GDI
Input A Rising Load Activation ECT Load 1	117fec	e12b0	3	16	3D	Fueling - Transient
Input A Rising Load Activation ECT Load 2	11804c	e12cc	3	16	3D	Fueling - Transient
Input A Rising Load Activation ECT Load 3	1180ac	e12e8	3	16	3D	Fueling - Transient
Input A Rising Load Activation ECT Load 4	118118	e1304	3	16	3D	Fueling - Transient
Input A Rising Load Activation ECT Load 5	118184	e1320	3	16	3D	Fueling - Transient
Input A Rising Load Activation ECT Load 6	1181e4	e133c	3	16	3D	Fueling - Transient
Input A Rising Load Activation ECT Load 7	118244	e1358	3	16	3D	Fueling - Transient
Input A Rising Load Activation ECT Load 8	1182a4	e1374	3	16	3D	Fueling - Transient
Input A Rising Load Activation ECT Load 9	118310	e1390	3	16	3D	Fueling - Transient
Input A Rising Load Activation ECT Load 10	118370	e13ac	3	16	3D	Fueling - Transient
Input A Rising Load Activation ECT Load 11	1183dc	e13c8	3	16	3D	Fueling - Transient
Input A Rising Load Activation ECT Load 12	11843c	e13e4	3	16	3D	Fueling - Transient
Input A Rising Load Activation ECT Load 13	1184a8	e1400	3	16	3D	Fueling - Transient
Input A Rising Load Activation ECT Load 14	118508	e141c	3	16	3D	Fueling - Transient
CL Fueling Transient Unknown B	118cac		3	16	3D	Fueling - Transient
CL Fueling Transient Unknown C	11397c		3		2D	Fueling - Transient
CL Fueling Transient Unknown D	113982		3		2D	Fueling - Transient
CL Fueling Transient Unknown E	113988		3		2D	Fueling - Transient
CL Fueling Transient Unknown F	11398e		3		2D	Fueling - Transient
CL Fueling Transient Unknown G	1139b4		8		2D	Fueling - Transient
CL Fueling Transient Unknown H	1139e4		8		2D	Fueling - Transient
CL Fueling Transient Unknown I	113a14		8		2D	Fueling - Transient
CL Fueling Transient Unknown J	113a44		8		2D	Fueling - Transient
CL Fueling Transient Unknown K	112a72		16		2D	Fueling - Transient
CL Fueling Transient Unknown L	118830		3	13	3D	Fueling - Transient
CL Fueling Transient Unknown M	1187ac		3	13	3D	Fueling - Transient
CL Fueling Transient Unknown N	118668		8	8	3D	Fueling - Transient
CL Fueling Transient Unknown O	11874c		3	7	3D	Fueling - Transient
CL Fueling Transient Unknown P	112a34		10		2D	Fueling - Transient
CL Fueling Transient Unknown S	11393a		3		2D	Fueling - Transient
CL Fueling Transient Unknown V	112a68		10		2D	Fueling - Transient
CL Fueling Transient Unknown W	113934		3		2D	Fueling - Transient
CL Fueling Transient Unknown ZA	113946		3		2D	Fueling - Transient
CL Fueling Transient Unknown ZD	113940		3		2D	Fueling - Transient
CL Fueling Transient Unknown ZH	118d58		3	16	3D	Fueling - Transient
CL Fueling Transient Unknown ZI	118e04		3	16	3D	Fueling - Transient
CL Fueling Transient Unknown ZJ	118eb0		3	16	3D	Fueling - Transient
CL Fueling Transient Unknown ZK	118f5c		3	16	3D	Fueling - Transient
CL Fueling Transient Unknown ZL	116270		3	16	3D	Fueling - Transient
CL Fueling Transient Unknown ZM	119008		3	16	3D	Fueling - Transient
CL Fueling Transient Unknown ZN	1190b4		3	16	3D	Fueling - Transient
TPS Related Fuel Adder Activation Min Load	11b404	e1968	7	7	3D	Miscellaneous - Other
TPS Related Fuel Adder Activation Min Load B	11b4a0	e1984	7	7	3D	Miscellaneous - Other
GDI Flow Rate	11c088	e1bb4	14	6	3D	Fueling - GDI
